idName,title,nOfJobs
bbcode,BBCode,0
exfat,ExFAT,0
microsoft-small-basic,Microsoft Small Basic,0
guile,Guile,0
geojson,GeoJSON,0
argdown,Argdown,0
apache-velocity,Velocity,0
hexagon,Qualcomm Hexagon,10
robomind,RoboMind,0
runoff,RUNOFF,0
jule,Jule,0
aith,Aith,0
mdx,MDX,0
imap-protocol,IMAP,0
dockerfile,Dockerfile,0
cfml,CFML,0
kixtart,KiXtart,0
pizza,Pizza,0
newtonscript,NewtonScript,0
ddml,DDML,0
assemblyscript,AssemblyScript,0
ipf,Information Presentation Facility,0
manim,Manim,0
velato,Velato,0
emojicode,Emojicode,0
rust-mir,Rust MIR,0
plain-english,Plain English,0
pic-microcontroller,PIC microcontroller,0
lotusscript,LotusScript,0
drakon,DRAKON,0
microsoft-macro-assembler,Microsoft Macro Assembler,0
pytorch,PyTorch,0
keras,Keras,0
subrip-text,SubRip Text,0
beads-lang,beads-lang,0
jekyll,Jekyll,0
yii,Yes It Is,0
lyx-editor,LyX,0
jade,JADE,0
pharo,Pharo,0
flowchart-fun,flowchart.fun,0
svelte,Svelte,0
prometheus,PROMETHEUS,0
glyph-bitmap-distribution-format,Glyph Bitmap Distribution Format,0
mirah,Mirah,0
ghostscript,Ghostscript,0
sqlalchemy,Sqlalchemy,0
cpl,CPL,0
modula,Modula,0
ffmpeg,FFmpeg,0
asmjs,Asm.js,0
microdata,Microdata HTML,0
blitzplus,BlitzPlus,0
bel,Bel,0
act-iii,ACT-III,0
papyrus,Papyrus,0
clarion,Clarion,0
gogs-editor,gogs-editor,0
vrml,VRML,0
tldr,tldr,0
progsbase,progsbase,0
csv,CSV,0
x-pixmap,X PixMap,0
spin,Spin,0
xetex,XeTeX,0
sqlpl,SQLPL,0
thinbasic,ThinBasic,0
readable,Readable,0
kml,KML,0
arexx,ARexx,0
clos,CLOS,0
x-bitmap,X BitMap,0
pawn,PAWN,0
alice,Alice,0
emberjs-framework,emberjs-framework,0
uno,Uno,0
futhark,Futhark,0
cson,CSON,0
json-stat,JSON-stat,0
algol-58,ALGOL 58,0
qr-code,QR code,0
jai,JAI,0
nial,Nial,0
mochajs,mochajs,0
godot-game-engine,Godot,0
s3,S3,0
codeql,CodeQL,0
yoix,Yoix,0
vcpkg-pm,Vcpkg,0
bazel,Bazel,0
mgmt,mgmt,0
vcl,Varnish Configuration Language,0
simple-binary-encoding,Simple Binary Encoding,0
felix,Felix,0
ext3,Ext3,0
kaitai,kaitai,0
mbasic,MBASIC,0
troff,Troff,0
javacc,JavaCC,5
flow-matic,FLOW-MATIC,0
mustache,mustache,0
roslyn-compiler,Roslyn compiler,0
slope,Slope,0
netlinx,NetLinx,0
concise-encoding,Concise Encoding,0
blockml,blockml,0
jakt,Jakt,0
bnf,BNF,0
shapefile,Shapefile,0
chatterbot,chatterbot,0
fml,Fuzzy Markup Language,0
jupyter-editor,Project Jupyter,0
usb-standard,USB,0
p4,P4,0
nushell,Nushell,0
figlet-font,FIGlet Font,0
curl,Curl,0
visual-prolog,Visual Prolog,0
ibm-gml,GML,0
aldor,Aldor,0
micro-editor,micro-editor,0
mavo,mavo,0
mathcad,Mathcad,0
joy,Joy,0
qmake,QMake,0
providex,ProvideX,0
dgraph,dgraph,0
xproc,XProc,0
cobra,Cobra,0
jasmine,jasmine,0
onnx,onnx,0
hdmi-standard,HDMI,0
apache-hbase,Apache Hbase,65
cyclone,Cyclone,0
lisaac,Lisaac,0
tinyc-compiler,Tiny C Compiler,0
sympy,SymPy,0
utc-format,UTC,0
amqp,Advanced Message Queuing Protocol,0
scoop-pm,Scoop,0
pick-operating-system,Pick operating system,0
msp430,TI MSP430,0
pgbouncer,PgBouncer,0
lookml,LookML,0
asymptote,Asymptote,0
rockstar,Rockstar,0
minidsdb,Mindsdb,0
jsf,JSFuck,0
cloc,cloc,0
angelscript,Angelscript,0
dojo,Dojo,0
iterm2,Iterm2,0
apex,Apex,0
triton,Triton,0
pop-11,Pop-11,0
z-shell,Z shell,0
mql,MQL5,0
jmp,JMP,0
gif-format,GIF,0
volt,Volt,0
conll-u,CoNLL-U,0
mal,mal,0
bbc-basic,BBC BASIC,0
displayport-standard,DisplayPort,0
dm,DM,0
karel,Karel,0
jsoniq,JSONiq,0
wasmer,wasmer,0
prismjs,Prism,0
chaiscript,chaiscript,0
digital-command-language,DIGITAL Command Language,0
capybara,capybara,0
lsl,Linden Scripting Language,0
tea,Tea,0
kubernetes,Kubernetes,0
ant-build-system,Ant Build System,0
ncl,NCAR Command Language,0
gas,GNU Assembler,0
gridstudio-editor,gridstudio-editor,0
jsharp,J#,0
fay,fay,0
gdscript,GDScript,0
f-prime,F Prime,0
beanshell,BeanShell,0
futurebasic,FutureBASIC,0
eclipse-command-language,Eclipse Command Language,0
gold,GOLD,0
css-doodle,CSS Doodle,0
powerbasic,PowerBASIC,0
pic,PIC,0
turbo-basic,Turbo Basic,0
kakoune-editor,Kakoune,0
shaderlab,ShaderLab,0
dat-protocol,dat-protocol,0
filebench-wml,Filebench WML,0
cloud-firestore-security-rules,Cloud Firestore Security Rules,0
bpel,BPEL,0
meson,Meson,0
docopt,docopt,0
xsv-app,xsv-app,0
vimwiki,Vimwiki,0
tsv,TSV,0
nix,Nix,0
dartmouth-basic,Dartmouth BASIC,0
sizzle,sizzle,0
up-arrow-notation,Up-arrow notation,0
retdec,RetDec,0
desmos,Desmos,0
md5-hash-function,MD5,0
zone,DNS Zone,0
4g-standard,4G,0
edgedb,edgedb,0
ext2,Ext2,0
gettext,Gettext Catalog,0
metafont,METAFONT,0
staroffice-basic,StarOffice Basic,0
pcre,PCRE,0
creole,Creole,0
semver,Semantic Versioning,0
unified-parallel-c,UPC,0
noms-db,noms-db,0
collada,COLLADA,0
sha-2-hash-function,SHA-2,0
conan-pm,Conan,0
islisp,ISLISP,0
htmx,htmx,0
xl-lang,XL,0
apt,Automatically Programmed Tool,0
binaryen,binaryen,0
harbour,Harbour,0
cryptol,Cryptol,0
sha-1-hash-function,SHA-1,0
dvi-standard,Digital Visual Interface,0
rholang,Rholang,13
pyret,pyret,0
ntp,Network Time Protocol,0
component-pascal,COMPONENT PASCAL,0
zephyr-asdl,zephyr-asdl,0
sql-92,SQL-92,0
easybuild,Easybuild,0
refal,Refal,0
yorick,Yorick,0
ldap,Lightweight Directory Access Protocol,0
maskjs,Mask,0
omgrofl,Omgrofl,0
carth,carth,0
mckeeman-form,mckeeman-form,0
bucklescript,Bucklescript,0
telnet-protocol,Telnet,0
chibicc,chibicc,0
mu,Mu,0
textmate-editor,TextMate,0
cartocss,CartoCSS,0
icedcoffeescript,IcedCoffeeScript,0
bmp-format,BMP file format,0
logica,Logica,0
opl,OPL,0
ravenscar-profile,Ravenscar profile,0
wml,WML,0
telcomp,TELCOMP,0
carbon,Carbon,0
jasmin,Jasmin,0
renderscript,RenderScript,0
literate-agda,Literate Agda,0
tiff-format,Tagged Image File Format,0
jovial,JOVIAL,0
grammar,Grammar,0
sysml,SysML,0
motif-software,Motif,0
zuo,Zuo,0
thymeleaf,Thymeleaf,0
bosque,bosque,0
spyder-editor,Spyder,0
contracts.coffee,contracts.coffee,0
icd,ICD-10-CM diagnosis,0
openscad,OpenSCAD,0
game-maker-language,Game Maker Language,0
sam-format,SAM file format,0
penrose,penrose,0
toffeescript,ToffeeScript,0
blackcoffee,BlackCoffee,0
heap.coffee,heap.coffee,0
jruby,JRuby,0
markovjunior,MarkovJunior,0
uberscript,UberScript,0
caffeine,Caffeine,0
nqc,Not Quite C,0
clist,CLIST,0
context-diff,Context Diff,0
tbox-lib,tbox-lib,0
blitzmax,BlitzMax,0
luajit,LuaJIT,0
edje-data-collection,Edje Data Collection,0
objective-cpp,Objective C++,0
vyper,vyper,0
skulpt,skulpt,0
hasklig,hasklig,0
speakeasy,Speakeasy,0
codecept,codecept,0
ooc,ooc,0
rascal,Rascal,0
alef,ALEF,0
mqtt,Message Queuing Telemetry Transport,0
neko,Neko,0
unity,UNITY,0
omega,omega,0
bliss,BLISS,0
power-bi-app,Power BI,0
elvish,Elvish,0
tableau-app,Tableau Software,0
tiddlywiki,TiddlyWiki,0
gfs,Google File System,0
euclidean-geometry,Euclidean geometry,0
lily,Lily,0
streem,Streem,0
nit,Nit,0
m3db,m3db,0
blender-app,Blender,0
ox,OX,0
alpine-abuild,Alpine Abuild,0
slice,Slice,0
beatnik,Beatnik,0
clay,clay,0
saml,Security Assertion Markup Language,0
perl-data-language,Perl Data Language,0
sweetjs,Sweet.js,0
hfs-plus,HFS Plus,0
yoptascript,YoptaScript,0
roff,ROFF,0
http-2,HTTP/2,0
simcode,SimCode,0
emberscript,EmberScript,0
walt,walt,0
ohm,ohm,0
xcard,xCard,0
binary-notation,Binary notation,0
synchronized-multimedia-integration-language,SMIL,0
stripe,Stripe company,0
gleam,gleam,0
gcc-machine-description,GCC Machine Description,0
jupyter-notebook,Jupyter Notebook,0
activevfp,ActiveVFP,0
treenotation,Tree Notation,0
ti-basic,TI-BASIC,0
fm-standard,FM broadcasting,0
ante,Ante,0
atari-basic,Atari BASIC,0
ucsd-pascal,UCSD Pascal,0
applesoft-basic,Applesoft BASIC,0
groff,groff,0
cesil,Cesil,0
praat-script,Praat Script,0
fibonacci,Fibonacci,0
whiley,Whiley,0
shen,Shen,0
netbeans-editor,netbeans-editor,0
mvel,MVEL,0
skip,skip,0
asciidots,AsciiDots,0
arkscript,ArkScript,0
chef,chef,0
melody,Melody,0
sha-3-hash-function,SHA-3,0
ucl,UCL,0
chisel,chisel,0
roku-brightscript,Brightscript,0
verona,verona,0
scss,SCSS,0
geo-ml,Geography Markup Language,0
mathlab,MATHLAB,0
stan,Stan,0
t,T,0
ip-pascal,IP Pascal,0
focal,Formulating On-Line Calculations in Algebraic Language,0
epigram,Epigram,0
sugarss,SugarSS,0
lmdb,lmdb,0
cell,Cell,0
joss,JOSS,0
colascript,ColaScript,0
laravel-framework,Laravel,0
xlwings-editor,xlwings-editor,0
graph-it,GraphIt,0
cycript,Cycript,0
raku,Raku,0
lammps-format,Large-scale Atomic/Molecular Massively Parallel Simulator Format,0
tap-code,Tap code,0
strips,Strips,0
root-lib,ROOT,0
pure,Pure,0
cusip,Committee on Uniform Security Identification Procedures,0
chuck,Ch,0
loglan,LOGLAN,0
netrexx,NetRexx,0
winxed,winxed,0
cache-basic,Caché Basic,0
svgbob,svgbob,0
fancy,Fancy,0
pogoscript,PogoScript,0
rant,rant,0
manhood,manhood,0
dokuwiki,DokuWiki,0
smt,SMT,0
ezhil,Ezhil,0
rtp-protocol,Real-time Transport Protocol,0
vml,VML,0
nxc,Not eXactly C,0
mary,Mary,0
arabic-numerals,Hindu-Arabic numeral system,0
zz,zz,0
checked-c,checked-c,0
web-idl,WebIDL,0
compiler-compiler,Compiler-Compiler,0
a-0-system,A-0 system,0
logtalk,Logtalk,0
mech-lang,Mech,0
doml,DOML,0
odata,Open Data Protcol,0
storyscript,storyscript,0
cranelift-ir,Cranelift,0
mun-lang,mun-lang,0
nexus-format,Nexus file,0
snowman-decompiler,Snowman,0
creative-basic,Creative Basic,0
freemarker,FreeMarker,0
ti-basic-assembly,TI Program,0
qalb,Qalb,0
packagist-pm,packagist-pm,0
hyperscript,Hyperscript,0
srecode-template,SRecode Template,0
notepad-plus-plus-editor,Notepad++,0
observable-lang,Observable,0
gluon,gluon,0
impala,Impala,0
oil,oil,0
jargon,Jargon,0
maxscript,MAXScript,0
sieve,Sieve mail filtering language,0
coff,Common Object File Format,0
doodle,DOODLE,0
esterel,Esterel,0
pl360,PL360,0
pan,Pan,0
loomscript,LoomScript,0
p,P,0
luna-1,Luna,0
lucene-query-syntax,Apache Lucene,0
plist,Property list,0
pep8,Pep8,0
invokator,invokator,0
gfa-basic,GFA BASIC,0
activity-pub,ActivityPub,0
open-shading-language,Open Shading Language,0
stencil,Stencil,0
vigil,Vigil,0
umple,Umple,0
mathics,mathics,0
basis-universal-format,Basis Codec,0
openedge-advanced-business-language,OpenEdge ABL,0
pandoc-app,Pandoc,0
kitten,kitten,0
spatial,Spatial,0
type-language,Type Language,0
shakespeare-programming-language,Shakespeare,0
sql-psm,SQL/PSM,0
flutter-framework,Flutter,0
fp,FP,0
please-build,Please Build,0
desktop,desktop,0
windows-registry-entries,Windows Registry Entries,0
moo,MOO,0
treelang,Treelang,0
grass,GRASS,0
plb,Programming Language for Business,0
ubasic,UBASIC,0
unified-diff,Unified Diff,0
almquist-shell,Almquist shell,0
avi-synth,AviSynth,0
parrot-assembly,Parrot Assembly,0
webp-format,WebP,0
tiscript,TIScript,0
hackett,Hackett,0
kodu-game-lab,Kodu Game Lab,0
xhtml,XHTML,0
gopher-protocol,Gopher,0
express,EXPRESS,0
arden-syntax,Arden syntax,0
stutter-lang,Stutter,0
iswim,ISWIM,0
arc-isa,ARC processor,0
vga-standard,Video Graphics Array,0
json-graph-format,json-graph-format,0
apache-cassandra,Apache Cassandra,0
json-with-comments,JSON with Comments,0
jsil-compiler,jsil-compiler,0
pop-protocol,Post Office Protocol,0
ssharp,Script.NET,0
jolie,Jolie,0
bog,bog,0
natural,NATURAL,0
coldfusion-components,ColdFusion Components,0
blockly,Blockly,0
infiniband-standard,InfiniBand,0
bun,Bun,0
vhdl-ams,VHDL-AMS,0
fable-lang,Fable,0
helang,HeLang,0
txt2tags,Txt2tags,0
blade,Blade,0
rpm-spec,RPM Spec,0
pasukon,pasukon,0
extensible-embeddable-language,Extensible Embeddable Language,0
operational-control-language,Operational Control Language,0
sheep-lang,Sheep,0
math-matic,MATH-MATIC,0
revit-app,Autodesk Revit,0
teco,TECO,0
handel-c,Handel-C,0
turbo-assembler,Turbo Assembler,0
souper,souper,0
dexvis,dexvis,0
m4sugar,M4Sugar,0
llhd,llhd,0
hurl,hurl,0
opal,Opal,0
egl,EGL,0
